Timestamp,Your age ,How many hours in a week do you spend on WhatsApp,How many hours in a week do you spend on YouTube,How many hours in a week do you spend on Facebook,How many hours in a week do you spend on Wikipedia?,How many hours in a week do you spend on Google.com?,"How many hours in a week do you spend on email (GMail, Yahoo, Outlook, etc.)?",How many hours in a week do you spend on Netflix?,How many hours in a week do you spend on Twitter?,"How many hours in a week do you spend on Online Multiplayer Games (Call of Duty, FIFA, PUBG, Fortnite, etc.)?","How many hours in a week do you spend on News sites (GhanaWeb, BBC, MyJoyOnline, Opera News, etc. ) without streaming video?",Social Media (Low con.),Social Media (High con.),Video Streaming Sites,Online  gaming,"Blogs and News readers, e.g. BBC, Medium, My JoyOnline, *.blogspot.com, Opera News, etc. (Estimated Hours a week)",Primary package,Secondary package,How many times in a month do you buy your primary preferred data package?,Would you prefer website-specific data packages optimized for you? (eg. bundle for accessing YouTube/Wikipedia ONLY at a specific rate for a heavy YouTube/Wikipedia user?)
8-7-2021 1:28:39,24,40,14,5,15,7,3,0,9,0,1,20,25,15,0,2,GHC 12 - 2.5GB,GHC 12 - 2.5GB,10,Yes
8-7-2021 1:54:40,22,40,2,1,1,2,0.5,0,2,0,1,1,3,2,0,1,GHC 3 --- 471.70 MB,,8,Maybe
8-7-2021 7:04:58,32,18,16,7,4,21,21,14,5,18,2,9,24,24,20,2,GHC 10 --- 971.82 MB,GHC 5 Mashup (MTN Pulse),5,Yes
8-7-2021 8:23:31,20,10,10,0,1,1,1,0,21,5,0,12,30,20,20,5,1Gb 5 cedis ,GHC 3 --- 471.70 MB,30,Yes
8-7-2021 8:25:32,22,21,10,0,4,10,12,0,21,1,6,21,18,18,1,6,GHC 3 --- 471.70 MB,GHC 10 Mashup (MTN Pulse),4,Yes
8-7-2021 8:27:48,23,11,1.5,1,0.5,1,1,0,5,0,0,5,1,1,0,0,GHC 3 --- 471.70 MB,GHC 10 Mashup (MTN Pulse),20,Yes
8-7-2021 8:47:58,23,49,70,0,3,5,5,0,10,0,5,5,5,5,5,5,GHC 3 --- 471.70 MB,GHC 3 --- 471.70 MB,8,Yes
8-7-2021 8:52:43,22,120,50,0,100,100,3,0,144,0,50,100,100,100,0,20,5cedis 1gig,GHC 3 --- 471.70 MB,30,Yes
8-7-2021 8:56:23,20,120,100,1,0.5,7,0.3,0,3,0,1,7,3,8,0,1,GHC 10 --- 971.82 MB,GHC 3 --- 471.70 MB,3,Yes
8-7-2021 8:56:49,21,35,14,3,7,12,3,6,8,1,0,3,4,6,1,0,GHC 10 --- 971.82 MB,GHC 3 --- 471.70 MB,12,Yes
8-7-2021 9:33:12,25,4,1,0,0.5,2,4,0,10,0,3,10,0,7,0,3,GHC 3 --- 471.70 MB,Midnight bundle ,8,Maybe
8-7-2021 9:35:07,22,10,7,0,1,00:19,1,9,2,4,1,1,8,8,4,1,GHC 3 --- 471.70 MB,GHC 3 --- 471.70 MB,40,Yes
8-7-2021 9:42:01,21,4,1,0,2,3,1,5,10,0,0,10,2,10,0,1,GHC 3 --- 471.70 MB,GHC 10 --- 971.82 MB,8,Yes
8-7-2021 10:24:00,21,30,24,2,7,15,7,7,30,0,7,20,15,15,0,7,5gh for 1GB (just for me),None,8,Yes
8-7-2021 10:42:13,22,20,20,0,2,5,2,4,20,15,1,2,20,5,5,1,GHC 3 --- 471.70 MB,Midnight bundle,40,Maybe
8-7-2021 12:34:30,26,10,2,0,0.1,10,10,0,0,0,0,10,0,10,0,0,GHC 3 --- 471.70 MB,Midnight bundle,3,Yes
8-7-2021 12:57:22,21,24,2,0,0.01,0.1,2,0,11,0,0,11,15,1,0,0.01,GHC 3 --- 471.70 MB,,8,Maybe
8-7-2021 13:47:25,22,4,6,1,3,3,4,0,4,2,1,8,2,8,1,4,GHC 3 --- 471.70 MB,Midnight bundle,10,Maybe
8-7-2021 18:24:52,22,6,29,0,0,3,0.5,1,48,0,0,48,12,28,0,5,GHC 5 - 1 GB,GHC 3 --- 471.70 MB,28,No
8-9-2021 20:34:47,21,3,10,0.2,0.2,0.2,0.2,0,2,0,0.1,4,4,10,0,1,GHC 3 --- 471.70 MB,Midnight bundle,5,Yes
