WhatsApp,YouTube,FB,Twitter,News,Research,Coursera/edX,Webinar,Email,High social media,Games,Pref (primary),Pref (second),Purchases /month,Prefer optimization,k
40.00,14.00,5.00,9.0,1.0,7.0,15.0,20.0,3.0,25.0,0.0,2.0,2.0,10.0,Yes,0.0046875
40.00,2.00,1.00,2.0,1.0,2.0,1.0,2.0,0.5,3.0,0.0,5.0,0.0,8.0,Maybe,157.2333333
18.00,16.00,7.00,5.0,2.0,21.0,4.0,8.0,21.0,24.0,18.0,1.0,6.0,5.0,Yes,0.010289971
10.00,10.00,0.00,21.0,0.0,1.0,1.0,12.0,1.0,30.0,5.0,4.0,5.0,30.0,Yes,0.004882813
21.00,10.00,0.00,21.0,6.0,10.0,4.0,10.0,12.0,18.0,1.0,5.0,7.0,4.0,Yes,157.2333333
11.00,1.50,1.00,5.0,0.0,1.0,0.5,1.0,1.0,1.0,0.0,5.0,7.0,20.0,Yes,157.2333333
49.00,70.00,0.00,10.0,5.0,5.0,3.0,2.0,5.0,5.0,0.0,5.0,5.0,8.0,Yes,157.2333333
120.00,50.00,0.00,144.0,50.0,100.0,100.0,16.0,3.0,100.0,0.0,4.0,5.0,30.0,Yes,0.004882813
120.00,100.00,1.00,3.0,1.0,7.0,0.5,6.0,0.3,3.0,0.0,1.0,5.0,3.0,Yes,0.010289971
35.00,14.00,3.00,8.0,0.0,12.0,7.0,4.0,3.0,4.0,1.0,1.0,5.0,12.0,Yes,0.010289971
4.00,1.00,0.00,10.0,3.0,2.0,0.5,2.0,4.0,0.0,0.0,5.0,3.0,8.0,Maybe,157.2333333
10.00,7.00,0.00,2.0,1.0,2.0,1.0,1.0,1.0,8.0,4.0,5.0,5.0,40.0,Yes,157.2333333
4.00,1.00,0.00,10.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,5.0,1.0,8.0,Yes,157.2333333
30.00,24.00,2.00,30.0,7.0,15.0,7.0,8.0,7.0,15.0,0.0,4.0,0.0,8.0,Yes,0.004882813
20.00,20.00,0.00,20.0,1.0,5.0,2.0,1.0,2.0,20.0,15.0,5.0,3.0,40.0,Maybe,157.2333333
10.00,2.00,0.00,0.0,0.0,10.0,0.1,2.0,10.0,0.0,0.0,5.0,3.0,3.0,Yes,157.2333333
24.00,2.00,0.00,11.0,0.0,0.1,0.0,2.0,2.0,15.0,0.0,5.0,0.0,8.0,Maybe,157.2333333
4.00,6.00,1.00,4.0,1.0,3.0,3.0,1.0,4.0,2.0,2.0,5.0,3.0,10.0,Maybe,157.2333333
6.00,29.00,0.00,48.0,0.0,3.0,0.0,14.0,0.5,12.0,0.0,4.0,5.0,28.0,No,0.004882813
3.00,10.00,0.20,2.0,0.1,0.2,0.2,1.0,0.2,4.0,0.0,5.0,3.0,5.0,Yes,157.2333333
