WhatsApp,YouTube,FB,Twitter,News,Research,Coursera/edX,Webinar,Email,High social media,Games,Pref (primary),Pref (second),Purchases /month,Prefer optimization,k
40,14,5,9,1,7,15,20,3,25,0,2,2,10,Yes,0.0046875
40,2,1,2,1,2,1,2,0.5,3,0,5,0,8,Maybe,0.006359975
18,16,7,5,2,21,4,8,21,24,18,1,6,5,Yes,0.010289971
10,10,0,21,0,1,1,12,1,30,5,4,5,30,Yes,0.004882813
21,10,0,21,6,10,4,10,12,18,1,5,7,4,Yes,0.006359975
11,1.5,1,5,0,1,0.5,1,1,1,0,5,7,20,Yes,0.006359975
49,70,0,10,5,5,3,2,5,5,0,5,5,8,Yes,0.006359975
120,50,0,144,50,100,100,16,3,100,0,4,5,30,Yes,0.004882813
120,100,1,3,1,7,0.5,6,0.3,3,0,1,5,3,Yes,0.010289971
35,14,3,8,0,12,7,4,3,4,1,1,5,12,Yes,0.010289971
4,1,0,10,3,2,0.5,2,4,0,0,5,3,8,Maybe,0.006359975
10,7,0,2,1,2,1,1,1,8,4,5,5,40,Yes,0.006359975
4,1,0,10,0,3,2,1,1,2,0,5,1,8,Yes,0.006359975
30,24,2,30,7,15,7,8,7,15,0,4,0,8,Yes,0.004882813
20,20,0,20,1,5,2,1,2,20,15,5,3,40,Maybe,0.006359975
10,2,0,0,0,10,0.1,2,10,0,0,5,3,3,Yes,0.006359975
24,2,0,11,0,0.1,0,2,2,15,0,5,0,8,Maybe,0.006359975
4,6,1,4,1,3,3,1,4,2,2,5,3,10,Maybe,0.006359975
6,29,0,48,0,3,0,14,0.5,12,0,4,5,28,No,0.004882813
3,10,0.2,2,0.1,0.2,0.2,1,0.2,4,0,5,3,5,Yes,0.006359975
