Food Name,Food Group,Calories
Hausa koko,cereals/porriges,24
Rice porridge ,cereals/porriges,61
Corn porridge ,cereals/porriges,64
Oblayo ,cereals/porriges,80
Weetabix ,cereals/porriges,373
Cornflakes,cereals/porriges,360
Cocoa drink in sachet (Milo)- sweetened cocoa beverage with no milk,drinks/beverage,55
Canned fanta (pineapple flavoured),drinks/beverage,48
Milo medium sized sachet powder,drinks/beverage,398
Nescafe classic,drinks/beverage,350
Bottle of malt (Malt beverage),drinks/beverage,37
Richoco (Milo),drinks/beverage,398
Vivacafe (Nescafe),drinks/beverage,350
Vitamilk in pack (Sweetened Soy Milk beverage),pulses and nuts,54
"Kalyppo, Flavored sugar sweetened beverage",drinks/beverage,22
"Ceres in small pack, fruit juice",fruits,47
Cowbell (sachet)- dried milk,milk/dairy products,79
Ideal milk (evaporated),milk/dairy products,24
Carnation tea creamer,milk/dairy products,134
Chocolate (kings bite),drinks/beverage,235
Yoghurt,drinks/beverage,85
Wagashi ,meat/poultry/insects,80.6
Cheese (laughing cow),meat/poultry/insects,64.48
Tea Bread,cereals,127
Sugar bread,cereals,127
"Tea bread, smaller size than 24",cereals,127
Buff loaf (boff wrote),cereals,169
Koose (Fried bean doughnut- spicy),pulses and nuts,102
Agaw (different type of bean doughnut-spicy),pulses and nuts,71.33
Chips (wheat flour),cereals,340
Cream cracker,cereals,119
Piccadilly marianne choco biscuit,cereals,237
"Pie (with yoghurt)- type of meat pie served with yogurt, wheat flour)",cereals,370.5
Divine onion crackers,cereals,115.44
Soda milk salt crackers,cereals,128.76
Piccadilly classic digestive,cereals,25.55
Malt & milk biscuit,drinks/beverage,237.25
Natural ginger biscuit,cereals,306
Mabel recheado chocolate,drinks/beverage,315
Nutro malt ‘n’ milk biscuit,drinks/beverage,244
McVities Shortbread ,cereals,100.4
Super 2 biscuit,cereals,91
McVities original digestive ,main foods,36.5
Waakye (beans and rice)- cooked,main foods,169
Gari (for waakye)-- cassava based- cooked,roots/tubers,349.7593225
Macaroni (for waakye)- cooked,main foods,124
Fante kenkey-- fermented maize dough- boiled,main foods,133
Ga kenkey fermented maize dough- boiled,main foods,126
Banku -fermented maize and cassava dough,main foods,364
Fufu-- cassava and plaintain,main foods,208
Rice balls - boiled rice with salt,main foods,404
"Boiled plantain, salted",roots/tubers,53.36
"Fried plantain, salted",roots/tubers,38.76
Granulated sugar,sugar,135.45
"Boiled corn (edible portion), salted",corn,74.52
Kokonte- cassava flour-boiled-- soft dumpling texture,main foods,244.9
Tuo zaafi -cassava flour and maize flour- soft dumpling,main foods,160.79
"Fried sweet potatoes, salted",roots/tubers,108.46
Ampesi-boiled yam ,roots/tubers,60.42
"Roasted corn (edible portion), salted",cereals,427
Kelewele- fried plantain with seasoning (red pepper and salt),roots/tubers,114
"Fried yam, salt",roots/tubers,102
"Fried cocoyam, salt",roots/tubers,111
Plain rice. Salted,rice,81.9
"Jollof rice - rice, onion, tomato, pepper, oil- like fried rice",rice,182.29
Wele (Cow hide)--raw,meat/poultry/insects,34.88
"Boiled Egg (for waakye), salt",eggs,67
Fried fish(kpanla)- fresh fish- fried,fish/sea food,71
Fried fish (red fish)- fresh fish fried,fish/sea food,34.48
Meat,meat/poultry/insects,53
Fresh egg,eggs,73
Smoked amane (smoked),fish/sea food,9
"Smoked mad fish, large",fish/sea food,75
"Smoked tilapia, large",fish/sea food,58
Smoked edoei,fish/sea food,93
